lambda_um,T_front_TE,T_front_TM,IL_front_TE_dB,IL_front_TM_dB,ER_TE_dB,ER_TM_dB
1.558441558441558517e+00,8.686520892239751879e-01,8.262580003828544628e-01,6.115413147361358215e-01,8.288432235616061128e-01,1.584768782292911737e+01,1.308311843070817559e+01
1.555915721231766913e+00,8.710707503749648417e-01,8.205010348957432198e-01,5.994656916045671968e-01,8.592086683608336495e-01,1.613281825674118153e+01,1.335505732500984521e+01
1.553398058252427383e+00,8.703422446050279593e-01,8.136373879003857557e-01,6.030993621386359083e-01,8.956910312150176967e-01,1.630843083174888264e+01,1.362463609193682856e+01
1.550888529886914391e+00,8.659433158178331258e-01,8.056218615725915244e-01,6.251053573465913393e-01,9.386875716208451514e-01,1.630502629270088022e+01,1.388761066520335419e+01
1.548387096774193727e+00,8.568113744310251745e-01,7.963661237848098651e-01,6.711477674688255401e-01,9.888722248470710463e-01,1.602506631420465055e+01,1.413864605312166844e+01
1.545893719806763711e+00,8.414651666275226871e-01,7.857560309156532696e-01,7.496385741194523389e-01,1.047122769558326505e+00,1.538832783545944594e+01,1.437067519456609688e+01
1.543408360128617485e+00,8.185572942381391659e-01,7.736658053640934618e-01,8.695091710649192063e-01,1.114465977525379348e+00,1.440028524269567711e+01,1.457397351533217034e+01
1.540930979133226408e+00,7.875256662411610487e-01,7.599656545722029977e-01,1.037352832205658659e+00,1.192060345176544134e+00,1.317709688176538840e+01,1.473499275562602406e+01
1.538461538461538769e+00,7.495079145799995457e-01,7.445207941482454572e-01,1.252237767713093364e+00,1.281231680827590536e+00,1.190227970533875990e+01,1.483522777330539455e+01
1.536000000000000254e+00,7.079130731038786317e-01,7.271828649564578972e-01,1.500200674360159248e+00,1.383563632054136239e+00,1.075595264673554752e+01,1.485080101088867899e+01
1.533546325878594407e+00,6.673649316441494506e-01,7.077796357854891918e-01,1.756366181690554029e+00,1.501019370265905595e+00,9.863120906939990107e+00,1.475390930341218443e+01
1.531100478468899517e+00,6.315554983285832646e-01,6.861147809907335304e-01,1.995884795365026276e+00,1.636032245541217733e+00,9.275109090253643274e+00,1.451727883275325226e+01
1.528662420382165932e+00,6.018462347522260947e-01,6.619941247022494979e-01,2.205144521451650963e+00,1.791458649722570184e+00,8.978559657317164877e+00,1.412155229827515335e+01
1.526232114467408918e+00,5.773361764327411549e-01,6.352945534323241050e-01,2.385712283443206072e+00,1.970248679835271410e+00,8.919521896971136954e+00,1.356311571661196602e+01
1.523809523809524169e+00,5.560358378295937598e-01,6.060829750983908193e-01,2.548972162056200474e+00,2.174679151727472615e+00,9.026730906039205138e+00,1.285828555441310250e+01
1.521394611727416857e+00,5.363294994060763266e-01,5.747726207244544527e-01,2.705683151440692047e+00,2.405039276489623568e+00,9.225198372467076524e+00,1.204148740997412936e+01
1.518987341772152222e+00,5.176826492192284634e-01,5.422735619627555570e-01,2.859363906963798385e+00,2.657815686672141631e+00,9.440881980184071764e+00,1.115901837433320765e+01
1.516587677725118821e+00,5.004790973831568790e-01,5.100605890788341146e-01,3.006140562080785728e+00,2.923782318634848831e+00,9.606024976236593460e+00,1.026198320862480173e+01
1.514195583596214867e+00,4.854515779899981620e-01,4.800584924181015012e-01,3.138540828734116772e+00,3.187058430686842136e+00,9.674725791571624711e+00,9.400112024845000747e+00
1.511811023622047445e+00,4.725144254129773347e-01,4.542494714415459267e-01,3.255849283576305986e+00,3.427055693587360174e+00,9.638468607784076880e+00,8.614608664646247860e+00
1.509433962264151274e+00,4.598043790798060915e-01,4.339545434545636349e-01,3.374268969181113409e+00,3.625557602588519224e+00,9.523148230287839411e+00,7.926112441087990845e+00
1.507064364207221896e+00,4.446862463988527914e-01,4.188487426149429815e-01,3.519463025399435452e+00,3.779427839728330962e+00,9.363816301590077273e+00,7.315764984905560375e+00
1.504702194357367073e+00,4.258107424440505384e-01,4.059948806445813907e-01,3.707833862858522789e+00,3.914794425849399850e+00,9.173733736123221405e+00,6.705327518926093688e+00
1.502347417840375732e+00,4.052397354126075490e-01,3.896551167202765287e-01,3.922879768745641815e+00,4.093196164893656785e+00,8.954194242404057036e+00,5.956374966453714670e+00
1.500000000000000444e+00,3.892436587975111606e-01,3.634666533636510266e-01,4.097784538316001424e+00,4.395354277883857463e+00,8.746311879751175411e+00,4.922215814803175604e+00
