delta_nm,si_ratio,peak_T_TE,peak_T_TM,min_ER_TE_dB,min_ER_TM_dB,avg_ER_TE_dB,avg_ER_TM_dB,bandwidth_nm
-2.000000000000000000e+01,4.435470854794176798e-01,6.718546085850134464e-01,6.510084564945449737e-01,-3.216821367645765761e+00,6.925494648484422200e+00,1.403492331957223005e+00,8.821093280253178293e+00,0.000000000000000000e+00
-1.500000000000000000e+01,4.609022946911162100e-01,7.638680895462097720e-01,7.100723275901772436e-01,-1.108967124307727481e+00,8.138818161681617980e+00,4.284006503976575786e+00,9.869341073616189064e+00,1.898734177215177965e+01
-1.000000000000000000e+01,4.784839190915285978e-01,8.338891550684359721e-01,7.701672830045125373e-01,-5.095932733914527724e-01,9.377640699225059606e+00,6.613349829235696475e+00,1.107172855100712461e+01,3.846153846153832490e+01
-5.000000000000000000e+00,4.956858447789227462e-01,8.586583411665908994e-01,8.153824760553176620e-01,5.231880134778635894e-01,6.167950398336119022e+00,8.322477180219451043e+00,1.111071892082901336e+01,3.945421666940629279e+01
0.000000000000000000e+00,5.131835937500000000e-01,8.686520892239751879e-01,8.368688054157674694e-01,9.866890187178894989e-01,4.922215814802935796e+00,9.277831660034017602e+00,1.125272333066732067e+01,5.996002664890043121e+01
5.000000000000000000e+00,5.306490862522075247e-01,8.397742817918126823e-01,8.380832316522920378e-01,3.771649467600447281e+00,2.875794433442891318e+00,9.379153468507739788e+00,9.213082305406492978e+00,3.096241506837538182e+01
1.000000000000000000e+01,5.477213818270266765e-01,7.956453513909482744e-01,8.063934173074961409e-01,8.612648123632872244e-01,4.069861518971973346e+00,7.631071495460687082e+00,8.293718533339371035e+00,2.105263157894743387e+01
1.500000000000000000e+01,5.650379688064541828e-01,7.305444275313023317e-01,6.483053413938033582e-01,-1.103600168391975389e+00,4.945943179261469425e+00,3.969560382539763843e+00,7.449785324763607441e+00,1.059602649006619046e+01
2.000000000000000000e+01,5.820185953673708834e-01,5.424728127113315201e-01,5.386303982853780647e-01,-3.418726641588026638e+00,5.491901928932191979e+00,9.770302856517506518e-01,6.937270553493828373e+00,0.000000000000000000e+00
