delta_nm,si_ratio,peak_T_TE,peak_T_TM,min_ER_TE_dB,min_ER_TM_dB,avg_ER_TE_dB,avg_ER_TM_dB,bandwidth_nm
-2.000000000000000000e+01,4.424272761494242312e-01,6.607183426798457493e-01,6.299732273569724761e-01,-4.052865486388904870e+00,7.627493013936199162e+00,6.481336638891188606e-01,9.579310522354933966e+00,0.000000000000000000e+00
-1.500000000000000000e+01,4.598821438609847490e-01,7.572752204375541307e-01,6.991244737146972144e-01,-6.892784602453755349e-01,8.577512828695128988e+00,3.996676743934280740e+00,1.029640640581644639e+01,1.898734177215177965e+01
-1.000000000000000000e+01,4.775614278284850966e-01,8.396573502682270762e-01,7.583294595943103067e-01,3.471974871261783446e-02,9.637301259921940755e+00,6.314110160408611172e+00,1.134334141192776713e+01,3.846153846153832490e+01
-5.000000000000000000e+00,4.948590078834357309e-01,8.690226276974389874e-01,8.082657292368837787e-01,9.042817721673690468e-01,6.237061218513537675e+00,8.424956630638082089e+00,1.129747891158037731e+01,4.900759617740724394e+01
0.000000000000000000e+00,5.124511718750000000e-01,8.906782880350549991e-01,8.281259679012389352e-01,1.084274470917985678e+00,5.239092992679701410e+00,9.532289557489168175e+00,1.152844969896573701e+01,4.964010920824013340e+01
5.000000000000000000e+00,5.300110793976946510e-01,8.514577575421560240e-01,8.500658292286825679e-01,3.290623222505654866e+00,2.856230835783326594e+00,9.611257293779100763e+00,9.212610166593220740e+00,3.096241506837538182e+01
1.000000000000000000e+01,5.471790293400702332e-01,8.004357231901284564e-01,8.134223616638969201e-01,1.986804991048567892e+00,4.015658376970041132e+00,8.299158964890738233e+00,8.303883254928718927e+00,3.137254901960773168e+01
1.500000000000000000e+01,5.645932758865856993e-01,7.434656504682359834e-01,6.499677474321106097e-01,-3.688546682230109952e-01,4.913843471873434510e+00,4.670894205972007995e+00,7.461059355712965413e+00,1.059602649006619046e+01
2.000000000000000000e+01,5.816735609473643320e-01,5.687599314698349451e-01,5.409980450612623670e-01,-3.212316039119925026e+00,5.441883530672777525e+00,1.493612261969290866e+00,6.916260915608436477e+00,0.000000000000000000e+00
